PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_1000,CumuIR_1000
HS00001,Budiriro - 5B ext.,36,4,4,3.881890136,3.881890136
HS00001,Budiriro - 5B ext.,37,4,8,3.735403716,7.617293852
HS00001,Budiriro - 5B ext.,38,3,11,4.262754829,11.88004868
HS00001,Budiriro - 5B ext.,39,0,11,3.793998284,15.67404697
HS00001,Budiriro - 5B ext.,40,0,11,2.248566551,17.92261352
HS00001,Budiriro - 5B ext.,41,1,12,1.0107563,18.93336982
HS00001,Budiriro - 5B ext.,42,1,13,0.769053706,19.70242352
HS00001,Budiriro - 5B ext.,43,0,13,0.534675434,20.23709896
HS00001,Budiriro - 5B ext.,44,0,13,0.270999877,20.50809883
HS00001,Budiriro - 5B ext.,45,0,13,0.21972963,20.72782846
HS00001,Budiriro - 5B ext.,46,0,13,0.102540494,20.83036896
HS00001,Budiriro - 5B ext.,47,0,13,0.051270247,20.8816392
HS00001,Budiriro - 5B ext.,48,0,13,0.036621605,20.91826081
HS00001,Budiriro - 5B ext.,49,0,13,0.014648642,20.93290945
HS00002,Budiriro - 1,36,262,262,3.881890136,3.881890136
HS00002,Budiriro - 1,37,204,466,3.735403716,7.617293852
HS00002,Budiriro - 1,38,288,754,4.262754829,11.88004868
HS00002,Budiriro - 1,39,351,1105,3.793998284,15.67404697
HS00002,Budiriro - 1,40,203,1308,2.248566551,17.92261352
HS00002,Budiriro - 1,41,86,1394,1.0107563,18.93336982
HS00002,Budiriro - 1,42,46,1440,0.769053706,19.70242352
HS00002,Budiriro - 1,43,27,1467,0.534675434,20.23709896
HS00002,Budiriro - 1,44,18,1485,0.270999877,20.50809883
HS00002,Budiriro - 1,45,13,1498,0.21972963,20.72782846
HS00002,Budiriro - 1,46,8,1506,0.102540494,20.83036896
HS00002,Budiriro - 1,47,3,1509,0.051270247,20.8816392
HS00002,Budiriro - 1,48,2,1511,0.036621605,20.91826081
HS00002,Budiriro - 1,49,0,1511,0.014648642,20.93290945
HS00003,Budiriro - 3,36,87,87,3.881890136,3.881890136
HS00003,Budiriro - 3,37,68,155,3.735403716,7.617293852
HS00003,Budiriro - 3,38,59,214,4.262754829,11.88004868
HS00003,Budiriro - 3,39,35,249,3.793998284,15.67404697
HS00003,Budiriro - 3,40,17,266,2.248566551,17.92261352
HS00003,Budiriro - 3,41,11,277,1.0107563,18.93336982
HS00003,Budiriro - 3,42,12,289,0.769053706,19.70242352
HS00003,Budiriro - 3,43,9,298,0.534675434,20.23709896
HS00003,Budiriro - 3,44,3,301,0.270999877,20.50809883
HS00003,Budiriro - 3,45,4,305,0.21972963,20.72782846
HS00003,Budiriro - 3,46,1,306,0.102540494,20.83036896
HS00003,Budiriro - 3,47,2,308,0.051270247,20.8816392
HS00003,Budiriro - 3,48,2,310,0.036621605,20.91826081
HS00003,Budiriro - 3,49,0,310,0.014648642,20.93290945
HS00004,Budiriro - 2,36,49,49,3.881890136,3.881890136
HS00004,Budiriro - 2,37,54,103,3.735403716,7.617293852
HS00004,Budiriro - 2,38,61,164,4.262754829,11.88004868
HS00004,Budiriro - 2,39,29,193,3.793998284,15.67404697
HS00004,Budiriro - 2,40,29,222,2.248566551,17.92261352
